action_id action_name
0 open_juice_bottle
1 close_juice_bottle
2 pour_juice_bottle
3 open_peanut_butter
4 close_peanut_butter
5 prick
6 sprinkle
7 scoop_spoon
8 put_sugar
9 stir
10 open_milk
11 close_milk
12 pour_milk
13 drink_mug
14 put_tea_bag
15 put_salt
16 open_liquid_soap
17 close_liquid_soap
18 pour_liquid_soap
19 wash_sponge
20 flip_sponge
21 scratch_sponge
22 squeeze_sponge
23 open_soda_can
24 use_flash
25 write
26 tear_paper
27 squeeze_paper
28 open_letter
29 take_letter_from_enveloppe
30 read_letter
31 flip_pages
32 use_calculator
33 light_candle
34 charge_cell_phone
35 unfold_glasses
36 clean_glasses
37 open_wallet
38 give_coin
39 receive_coin
40 give_card
41 pour_wine
42 toast_wine
43 handshake
44 high_five
